,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,url,npm_id,npm_url,npm_monthly_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,docs_url,maven_id,maven_url,npm_latest_release_published_at,npm_dependent_project_count,trending,updated_github_id
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2026-03-20 02:00:36.000000,2026-03-18 21:54:37,2511.0,18.0,844.0,192.0,789.0,15.0,1001.0,10465.0,2025-05-15 16:32:04.000,7.7.7,100.0,thumbor is an open-source photo thumbnail service by globo.com.,385.0,385.0,206.0,https://pypi.org/project/thumbor,15465.0,15465.0,33,True,1.0,,,,,,,,,,,,,,,,,,,
1,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2026-03-23 16:26:57.000000,2026-03-23 16:26:48,5418.0,52.0,76.0,89.0,2850.0,29.0,330.0,217.0,2026-02-19 13:10:59.000,3.97.0,32.0,Digital commerce toolkit for frontend developers.,,,119.0,,,177.0,24,True,1.0,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,177.0,,,,,,,,,,,,,,,
2,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2026-03-17 19:17:53.000000,2026-03-15 21:57:48,194.0,16.0,33.0,28.0,80.0,3.0,22.0,100.0,2026-03-16 02:13:46.000,5.2.0,52.0,remotecv is an OpenCV server for facial and feature recognition.,48.0,45.0,24.0,https://pypi.org/project/remotecv,5961.0,5961.0,24,True,1.0,,,,,2026-03-16 02:10:53,3.0,,,,,,,,,,,,,
3,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2026-03-18 01:31:59.000000,2026-03-18 01:18:30,153.0,13.0,35.0,24.0,55.0,1.0,15.0,63.0,2022-03-31 13:34:23.000,2.0.2,8.0,Pythons extensions to thumbor. These are used to generate safe urls among others.,243.0,243.0,18.0,https://pypi.org/project/libthumbor,43323.0,43323.0,23,True,3.0,,,,,,,,,,,,,,,,,,,
4,APSL Thumbor,APSL/docker-thumbor,,['docker'],hosting,https://github.com/APSL/docker-thumbor,https://github.com/APSL/docker-thumbor,MIT,2015-06-18 19:07:56,2022-05-17 10:44:43.000000,2017-04-18 07:37:47,163.0,,109.0,15.0,39.0,1.0,71.0,343.0,2017-03-27 14:32:19.000,6.3.0,10.0,"Docker image for thumbor. Detectors, optimizers, lazy detection and separate docker for remotecv.",,,15.0,,,79899.0,19,False,1.0,,,,,,,apsl/thumbor,https://hub.docker.com/r/apsl/thumbor,2019-12-17 16:40:20.048888,50.0,10306996.0,,,,,,,,
5,Minimal Compact Thumbor,MinimalCompact/thumbor,,['docker'],hosting,https://github.com/MinimalCompact/thumbor,https://github.com/MinimalCompact/thumbor,MIT,2018-07-01 19:40:19,2025-12-08 19:08:29.000000,2025-12-08 19:08:28,164.0,,90.0,12.0,89.0,,81.0,326.0,,,,The quickest way to run thumbor.,,,29.0,,,83143.0,18,True,2.0,,,,,,,minimalcompact/thumbor,https://hub.docker.com/r/minimalcompact/thumbor,2023-04-26 14:23:16.465233,27.0,7649239.0,,,,,,,,
6,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2025-08-21 08:49:03.000000,2025-08-21 08:47:21,261.0,,74.0,10.0,68.0,1.0,95.0,159.0,2025-08-21 08:49:03.000,7.0.4,25.0,Thumbor AWS extensions.,,,41.0,https://pypi.org/project/tc_aws,1431.0,1431.0,18,True,1.0,,,,,,,,,,,,14.0,,,,,,,
7,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2025-08-21 08:49:03.000000,2025-08-21 08:47:21,261.0,,74.0,10.0,68.0,1.0,95.0,159.0,2025-08-21 08:49:03.000,7.0.4,25.0,Thumbor AWS extensions.,,,41.0,https://pypi.org/project/tc_aws,1431.0,1431.0,18,True,1.0,,,,,,,,,,,,14.0,,,,,,,
8,thumbor-aws S3 Storages and S3 Result Storage,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2026-03-23 19:33:09.000000,2026-03-19 02:44:01,247.0,11.0,18.0,3.0,323.0,3.0,30.0,25.0,2025-08-26 14:26:15.000,0.9.1,10.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,9.0,https://pypi.org/project/thumbor-aws,4213.0,4213.0,17,True,2.0,,,,,,,,,,,,,,,,,,,
9,thumbor-aws S3 loader,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",loaders,https://github.com/thumbor/thumbor-aws,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2026-03-23 19:33:09.000000,2026-03-19 02:44:01,247.0,11.0,18.0,3.0,323.0,3.0,30.0,25.0,2025-08-26 14:26:15.000,0.9.1,10.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,,,9.0,https://pypi.org/project/thumbor-aws,4213.0,4213.0,17,True,2.0,,,,,,,,,,,,,,,,,,,
10,django-thumbor,ricobl/django-thumbor,django-thumbor,"['python3', 'thumbor7', 'django']",python-url-and-framework,https://github.com/ricobl/django-thumbor,https://github.com/ricobl/django-thumbor,MIT,2012-12-16 20:27:56,2026-03-04 21:45:41.000000,2026-02-11 06:07:44,137.0,1.0,21.0,2.0,40.0,1.0,11.0,92.0,2024-04-28 21:21:24.000,0.6.0,13.0,A django app with templatetags for resizing images with thumbor.,28.0,28.0,8.0,https://pypi.org/project/django-thumbor,4947.0,4947.0,15,True,1.0,,,,,2024-04-28 21:21:24,,,,,,,,https://django-thumbor.readthedocs.io/en/latest/,,,,,,
11,ruby-thumbor,thumbor/ruby-thumbor,,"['ruby', 'thumbor7']",ruby-url-and-framework,https://github.com/thumbor/ruby-thumbor,https://github.com/thumbor/ruby-thumbor,MIT,2011-04-03 02:30:00,2022-01-30 12:51:04.000000,2022-01-30 12:49:18,175.0,,12.0,23.0,20.0,,5.0,45.0,2022-01-28 02:08:19.000,4.0.0,2.0,ruby-thumbor is the client library to thumbor.,160.0,160.0,17.0,,,,15,False,1.0,,,,,,,,,,,,,,,,,,,
12,thumbor-plugins-gifv,thumbor/thumbor-plugins,thumbor-plugins-gifv,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2026-03-10 02:12:52.000000,2026-03-09 18:59:13,159.0,1.0,19.0,19.0,100.0,,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,,,15.0,https://pypi.org/project/thumbor-plugins-gifv,14952.0,14952.0,14,True,1.0,,,,,,,,,,,,,,,,,,,
13,opencv-engine,thumbor/opencv-engine,opencv-engine,[],engines,https://github.com/thumbor/opencv-engine,https://github.com/thumbor/opencv-engine,MIT,2014-03-12 19:07:03,2022-01-31 23:50:14.000000,2018-05-23 21:07:08,25.0,,25.0,24.0,16.0,15.0,11.0,26.0,2015-04-12 23:23:07.000,1.0.1,3.0,Thumbor engine for the openCV imaging library.,,,8.0,https://pypi.org/project/opencv-engine,688.0,688.0,14,False,1.0,,,,,2015-04-12 22:48:56,,,,,,,16.0,,,,,,,
14,pollexor,square/pollexor,,"['java', 'thumbor7']",java-url-and-framework,https://github.com/square/pollexor,https://github.com/square/pollexor,Apache-2.0,2012-07-17 18:06:03,2026-03-23 20:12:42.000000,2025-11-21 04:55:08,177.0,,82.0,19.0,51.0,1.0,10.0,641.0,,,,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,,,15.0,,,,12,True,1.0,,,,,,,,,,,,,,com.squareup:pollexor,https://search.maven.org/artifact/com.squareup/pollexor,,,,
15,Thumbor S3 Docker,beeyev/thumbor-s3-docker,,"['docker', 'thumbor7', 'python3']",hosting,https://github.com/beeyev/thumbor-s3-docker,https://github.com/beeyev/thumbor-s3-docker,MIT,2022-04-28 19:57:19,2025-11-24 08:04:39.000000,2024-10-01 09:56:44,58.0,,14.0,4.0,32.0,4.0,9.0,62.0,2024-10-01 10:11:25.000,7.7-2,12.0,"A docker image for thumbor with AWS S3 / Minio integration for cropping, resizing, applying filters and optimizing..",,,4.0,,,1723.0,12,False,2.0,,,,,,,beeyev/thumbor-s3,https://hub.docker.com/r/beeyev/thumbor-s3,2025-08-02 03:09:45.508509,1.0,81014.0,,,,,,,,
16,thumbor-plugins-optipng,thumbor/thumbor-plugins,thumbor-plugins-optipng,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2026-03-10 02:12:52.000000,2026-03-09 18:59:13,159.0,1.0,20.0,19.0,100.0,7.0,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,,,15.0,https://pypi.org/project/thumbor-plugins-optipng,203.0,203.0,12,True,2.0,,,,,2023-11-04 21:11:05,,,,,,,,,,,,,,
17,thumbor-ts,Brettm12345/thumbor-ts,,"['node', 'typescript', 'thumbor7']",js-url-and-framework,https://github.com/Brettm12345/thumbor-ts,https://github.com/Brettm12345/thumbor-ts,MIT,2019-10-28 14:36:41,2026-03-23 16:55:40.000000,2024-03-16 05:13:46,686.0,,2.0,,609.0,1.0,2.0,16.0,2020-10-10 16:53:28.549,1.3.91,30.0,Immutable TypeScript client for building Thumbor URLs.,18.0,12.0,6.0,,,97.0,12,False,1.0,,thumbor-ts,https://www.npmjs.com/package/thumbor-ts,97.0,,,,,,,,,,,,2020-10-10 16:53:28.549,6.0,,
18,thumbor-plugins-mozjpeg,thumbor/thumbor-plugins,thumbor-plugins-mozjpeg,[],optimizers,https://github.com/thumbor/thumbor-plugins,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2026-03-10 02:12:52.000000,2026-03-09 18:59:13,159.0,1.0,19.0,19.0,100.0,,13.0,34.0,2024-01-08 18:58:36.000,thumbor-plugins-gifv-v0.1.5,33.0,Optimizers and filters contributed by the Thumbor community.,,,15.0,https://pypi.org/project/thumbor-plugins-mozjpeg,30.0,30.0,11,True,2.0,,,,,,,,,,,,,,,,,,,
