,name,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,trending,url,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,docs_url
0,thumbor,thumbor/thumbor,thumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/thumbor,441.0,388.0,210.0,https://github.com/thumbor/thumbor,MIT,2011-03-16 17:30:05,2026-05-30 23:23:57.000000,26,865.0,21.0,10486.0,thumbor is an open-source photo thumbnail service by globo.com.,https://pypi.org/project/thumbor,2026-05-30 23:23:57.000,2026-05-30 23:23:57.000,7.8.0,120.0,53.0,18926.0,18926.0,True,1,-4.0,,,,,,,,,,,,,,,,
1,libthumbor,thumbor/libthumbor,libthumbor,"['python3', 'thumbor7']",core,https://github.com/thumbor/libthumbor,258.0,247.0,19.0,https://github.com/thumbor/libthumbor,MIT,2011-03-30 17:31:59,2023-05-13 12:32:19.000000,19,39.0,5.0,62.0,Pythons extensions to thumbor. These are used to generate safe urls among others.,https://pypi.org/project/libthumbor,2022-03-31 13:32:59.000,2022-03-31 13:32:59.000,2.0.2,21.0,11.0,77136.0,77136.0,False,3,,,,,,,,,,,,,,,,,
2,remotecv,thumbor/remotecv,remotecv,"['python3', 'thumbor7']",detectors,https://github.com/thumbor/remotecv,48.0,45.0,25.0,https://github.com/thumbor/remotecv,MIT,2012-01-04 12:09:00,2026-03-16 02:10:53.000000,18,33.0,3.0,100.0,remotecv is an OpenCV server for facial and feature recognition.,https://pypi.org/project/remotecv,2026-03-16 02:10:53.000,2026-03-16 02:10:53.000,5.2.0,52.0,3.0,3842.0,3842.0,True,1,-4.0,,,,,,,,,,,,,,,,
3,gatsby-plugin-thumbor,vtex/faststore,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/vtex/faststore,6.0,,159.0,https://github.com/vtex/faststore,MIT,2020-06-15 23:40:50,2026-07-20 18:00:08.000000,17,81.0,68.0,215.0,Digital commerce toolkit for frontend developers.,,,2022-08-12 01:15:52.129,0.373.50,316.0,,,859.0,True,1,-10.0,https://github.com/vtex/faststore/tree/master/packages/gatsby-plugin-thumbor,@vtex/gatsby-plugin-thumbor,https://www.npmjs.com/package/@vtex/gatsby-plugin-thumbor,2022-08-17 15:48:58.811,6.0,859.0,,,,,,,,,,
4,Minimal Compact Thumbor,MinimalCompact/thumbor,,['docker'],hosting,https://github.com/MinimalCompact/thumbor,,,30.0,https://github.com/MinimalCompact/thumbor,MIT,2018-07-01 19:40:19,2025-02-24 21:52:35.000000,15,89.0,,319.0,The quickest way to run thumbor.,,,,,,,,80190.0,False,1,,,,,,,,minimalcompact/thumbor,https://hub.docker.com/r/minimalcompact/thumbor,2023-04-26 14:23:16.465233,27.0,7698240.0,,,,,
5,ThumborUrlBuilder,policymic/thumbor#readme,,"['node', 'thumbor7']",js-url-and-framework,https://github.com/policymic/thumbor#readme,20.0,,5.0,https://github.com/policymic/thumbor#readme,MIT,2014-03-03 19:22:12,2020-12-11 07:29:00.000000,15,21.0,5.0,24.0,Client Thumbor for Node JS.,,,2017-09-07 07:05:18.804,0.1.5,6.0,,,8039.0,False,1,,,thumbor,https://www.npmjs.com/package/thumbor,2017-09-07 07:05:18.804,20.0,8039.0,,,,,,,,,,
6,pollexor,square/pollexor,,"['java', 'thumbor7']",java-url-and-framework,https://github.com/square/pollexor,7.0,,15.0,https://github.com/square/pollexor,Apache-2.0,2012-07-17 18:06:03,2024-08-07 18:26:54.000000,14,85.0,3.0,641.0,Java client for the Thumbor image service which allows you to build URIs in an expressive fashion using a fluent API.,,,2022-01-18 21:18:26.000,3.0.0,11.0,,,,False,1,,,,,,,,,,,,,com.squareup:pollexor,https://search.maven.org/artifact/com.squareup/pollexor,2022-01-18 21:18:26,7.0,
7,APSL Thumbor,APSL/docker-thumbor,,['docker'],hosting,https://github.com/APSL/docker-thumbor,,,15.0,https://github.com/APSL/docker-thumbor,MIT,2015-06-18 19:07:56,2022-05-17 10:44:43.000000,14,109.0,1.0,343.0,"Docker image for thumbor. Detectors, optimizers, lazy detection and separate docker for remotecv.",,,,,,,,77815.0,False,2,-5.0,,,,,,,apsl/thumbor,https://hub.docker.com/r/apsl/thumbor,2019-12-17 16:40:20.048888,50.0,10349472.0,,,,,
8,tc_aws.storage,thumbor-community/aws,tc_aws,[],storage-and-result-storage,https://github.com/thumbor-community/aws,2.0,,41.0,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2025-08-21 08:50:46.000000,14,46.0,3.0,87.0,Thumbor AWS extensions.,https://pypi.org/project/tc_aws,2025-08-21 08:50:46.000,2025-08-18 07:31:18.000,7.0.3,47.0,2.0,1348.0,1348.0,True,1,,,,,,,,,,,,,,,,,
9,tc_aws.loaders,thumbor-community/aws,tc_aws,[],loaders,https://github.com/thumbor-community/aws,2.0,,41.0,https://github.com/thumbor-community/aws,MIT,2015-06-15 13:44:10,2025-08-21 08:50:46.000000,14,46.0,3.0,87.0,Thumbor AWS extensions.,https://pypi.org/project/tc_aws,2025-08-21 08:50:46.000,2025-08-18 07:31:18.000,7.0.3,47.0,2.0,1348.0,1348.0,True,1,,,,,,,,,,,,,,,,,
10,thumbor-video-engine,theatlantic/thumbor-video-engine,thumbor-video-engine,"['python3', 'thumbor7']",engines,https://github.com/theatlantic/thumbor-video-engine,4.0,4.0,5.0,https://github.com/theatlantic/thumbor-video-engine,BSD-3-Clause,2019-12-24 21:34:29,2026-07-15 20:00:06.000000,14,11.0,13.0,36.0,An engine and tools for manipulating videos with thumbor using ffmpeg.,https://pypi.org/project/thumbor-video-engine,2026-07-15 20:00:06.000,2026-07-15 20:00:06.000,1.3.1,13.0,,981.0,981.0,True,1,,,,,,,,,,,,,,,,,
11,thumbor-aws S3 Storages and S3 Result Storage,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",storage-and-result-storage,https://github.com/thumbor/thumbor-aws,,,12.0,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2026-06-25 20:06:43.000000,14,19.0,9.0,26.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,https://pypi.org/project/thumbor-aws,2026-06-25 20:06:43.000,2026-06-05 21:53:13.000,1.0.0,15.0,,4134.0,4134.0,True,1,,,,,,,,,,,,,,,,,
12,thumbor-aws S3 loader,thumbor/thumbor-aws,thumbor-aws,"['python3', 'thumbor7']",loaders,https://github.com/thumbor/thumbor-aws,,,12.0,https://github.com/thumbor/thumbor-aws,MIT,2021-11-21 02:37:07,2026-06-25 20:06:43.000000,14,19.0,9.0,26.0,thumbor-aws is a set of modern thumbor (7.0.0) AWS Extensions (Storages and Result Storages).,https://pypi.org/project/thumbor-aws,2026-06-25 20:06:43.000,2026-06-05 21:53:13.000,1.0.0,15.0,,4134.0,4134.0,True,1,,,,,,,,,,,,,,,,,
13,thumbor-plugins-gifv,thumbor/thumbor-plugins,thumbor-plugins-gifv,[],optimizers,https://github.com/thumbor/thumbor-plugins,2.0,,16.0,https://github.com/thumbor/thumbor-plugins,MIT,2015-03-10 13:14:41,2026-04-18 14:50:43.000000,13,19.0,8.0,34.0,Optimizers and filters contributed by the Thumbor community.,https://pypi.org/project/thumbor-plugins-gifv,2024-01-08 18:58:58.000,2024-01-08 18:58:58.000,0.1.5,6.0,2.0,18453.0,18453.0,True,1,2.0,,,,,,,,,,,,,,,,
14,opencv-engine,thumbor/opencv-engine,opencv-engine,[],engines,https://github.com/thumbor/opencv-engine,,,8.0,https://github.com/thumbor/opencv-engine,MIT,2014-03-12 19:07:03,2022-01-31 23:50:14.000000,12,25.0,15.0,26.0,Thumbor engine for the openCV imaging library.,https://pypi.org/project/opencv-engine,2015-04-12 22:48:56.000,2015-04-12 22:48:56.000,1.0.1,3.0,,719.0,719.0,False,3,,,,,,,,,,,,,,,,,
